Numero;Date;Type;Nombre;Montant;Cours;Nom;YahooName;Remarques
411;2023-06-14 00:00:00;Coupons;14;28;;SAINT-GOBAIN;;
412;2023-06-28 00:00:00;Achat;15;783.29;;TOTAL;;
413;2023-06-28 00:00:00;Coupons;69;3.21;;STMICROELECTRONICS;;
414;2023-06-28 00:00:00;Achat;8;797.26;;SANOFI;;
415;2023-06-29 00:00:00;Achat;400;793.76;;ORPEA;;
416;2023-07-03 00:00:00;Coupons;51;37.74;;TOTAL;;
417;2023-08-03 00:00:00;Coupons;244;4,75;;NOKIA;;
418;2023-08-24 00:00:00;Achat;28;792;;VEOLIA;;
419;2023-09-20 00:00:00;Coupons;69;3,28;;STMICROELECTRONICS;;
420;2023-10-02 00:00:00;Coupons;66;48.84;;TOTAL;;
421;2023-10-20 00:00:00;Coupons;15;155.4;;BOIRON;;
422;2023-10-23 00:00:00;Achat;32;803.76;;VEOLIA;;
423;2023-11-02 00:00:00;Coupons;244;4.75;;NOKIA;;
